state;action;action_parameters;result;next_state
"{""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p5, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false"", ""holding(p5)"": ""false""}";pick-up;"[""p5"", ""t""]";True;"{""on(p5, t)"": ""false"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""holding(p5)"": ""true"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}"
"{""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p5, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false"", ""holding(p5)"": ""false""}";put-down;"[""p2"", ""t""]";False;None
"{""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""on(p5, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false"", ""holding(p5)"": ""false""}";stack;"[""p3"", ""p1""]";False;None
"{""on(p5, t)"": ""false"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""holding(p5)"": ""true"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p5"", ""p4""]";True;"{""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}"
"{""on(p5, t)"": ""false"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""holding(p5)"": ""true"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";put-down;"[""p1"", ""t""]";False;None
"{""on(p5, t)"": ""false"", ""clear(p5)"": ""false"", ""robot-empty"": ""false"", ""holding(p5)"": ""true"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""clear(p4)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p5, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p3"", ""p5""]";False;None
"{""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";pick-up;"[""p2"", ""t""]";True;"{""on(p2, t)"": ""false"", ""clear(p2)"": ""false"", ""robot-empty"": ""false"", ""holding(p2)"": ""true"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}"
"{""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";put-down;"[""p1"", ""t""]";False;None
"{""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""robot-empty"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p2, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p2)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p2)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";unstack;"[""p4"", ""p1""]";False;None
"{""on(p2, t)"": ""false"", ""clear(p2)"": ""false"", ""robot-empty"": ""false"", ""holding(p2)"": ""true"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p1)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p2, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}";stack;"[""p2"", ""p1""]";True;"{""holding(p2)"": ""false"", ""clear(p1)"": ""false"", ""clear(p2)"": ""true"", ""robot-empty"": ""true"", ""on(p2, p1)"": ""true"", ""on(p2, t)"": ""false"", ""holding(p5)"": ""false"", ""clear(p4)"": ""false"", ""clear(p5)"": ""true"", ""on(p5, p4)"": ""true"", ""on(p5, t)"": ""false"", ""on(p1, t)"": ""true"", ""on(p3, t)"": ""true"", ""on(p4, t)"": ""true"", ""clear(p3)"": ""true"", ""on(p1, p1)"": ""false"", ""on(p3, p1)"": ""false"", ""on(p4, p1)"": ""false"", ""on(p5, p1)"": ""false"", ""on(p1, p2)"": ""false"", ""on(p2, p2)"": ""false"", ""on(p3, p2)"": ""false"", ""on(p4, p2)"": ""false"", ""on(p5, p2)"": ""false"", ""on(p1, p3)"": ""false"", ""on(p2, p3)"": ""false"", ""on(p3, p3)"": ""false"", ""on(p4, p3)"": ""false"", ""on(p5, p3)"": ""false"", ""on(p1, p4)"": ""false"", ""on(p2, p4)"": ""false"", ""on(p3, p4)"": ""false"", ""on(p4, p4)"": ""false"", ""on(p1, p5)"": ""false"", ""on(p2, p5)"": ""false"", ""on(p3, p5)"": ""false"", ""on(p4, p5)"": ""false"", ""on(p5, p5)"": ""false"", ""holding(p1)"": ""false"", ""holding(p3)"": ""false"", ""holding(p4)"": ""false""}"
